Project,TotalBldg_GSF,Cat_Major,Cat_Minor,Total Net Area,Beds,Space,Total_SF,Common/Speciality,Path
KCT MultiSpecialty Hospital,170050.2361,D&T,Interventional Radiology,6396,197,Entry / Waiting,658,C,80066.000_KCTMultispeciality_D&TandPCU.jpg
KCT MultiSpecialty Hospital,170050.2361,D&T,Interventional Radiology,6396,197,Reception/Registration,215,C,80066.000_KCTMultispeciality_D&TandPCU.jpg
KCT MultiSpecialty Hospital,170050.2361,D&T,Interventional Radiology,6396,197,Film Pick-Up,215,C,80066.000_KCTMultispeciality_D&TandPCU.jpg
KCT MultiSpecialty Hospital,170050.2361,D&T,Interventional Radiology,6396,197,Pre-Procedure Holding/Post-Procedure Recovery,732,C,80066.000_KCTMultispeciality_D&TandPCU.jpg
KCT MultiSpecialty Hospital,170050.2361,D&T,Interventional Radiology,6396,197,Diagnostic Radiography/Fluoroscopy,990,C,80066.000_KCTMultispeciality_D&TandPCU.jpg
KCT MultiSpecialty Hospital,170050.2361,D&T,Interventional Radiology,6396,197,Ultrasound,388,C,80066.000_KCTMultispeciality_D&TandPCU.jpg
KCT MultiSpecialty Hospital,170050.2361,D&T,Interventional Radiology,6396,197,CT,861,C,80066.000_KCTMultispeciality_D&TandPCU.jpg
KCT MultiSpecialty Hospital,170050.2361,D&T,Interventional Radiology,6396,197,MRI,732,C,80066.000_KCTMultispeciality_D&TandPCU.jpg
KCT MultiSpecialty Hospital,170050.2361,D&T,Interventional Radiology,6396,197,Nuclear Medicine,0,C,80066.000_KCTMultispeciality_D&TandPCU.jpg
KCT MultiSpecialty Hospital,170050.2361,D&T,Interventional Radiology,6396,197,Mammography / Bone Densitometry / Holter Scan,388,C,80066.000_KCTMultispeciality_D&TandPCU.jpg
KCT MultiSpecialty Hospital,170050.2361,D&T,Interventional Radiology,6396,197,Clinical Support,1163,C,80066.000_KCTMultispeciality_D&TandPCU.jpg
KCT MultiSpecialty Hospital,170050.2361,D&T,Interventional Radiology,6396,197,Administrative Area,54,C,80066.000_KCTMultispeciality_D&TandPCU.jpg
KCT MultiSpecialty Hospital,170050.2361,D&T,Interventional Radiology,6396,197,Staff Support,0,C,80066.000_KCTMultispeciality_D&TandPCU.jpg
KCT MultiSpecialty Hospital,170050.2361,D&T,Surgery,11108,197,Entry / Waiting,344,C,80066.000_KCTMultispeciality_D&TandPCU.jpg
KCT MultiSpecialty Hospital,170050.2361,D&T,Surgery,11108,197,Pre-Op / Post-op (Stage I & II),1238,C,80066.000_KCTMultispeciality_D&TandPCU.jpg
KCT MultiSpecialty Hospital,170050.2361,D&T,Surgery,11108,197,Operating Theatre Cluster,5942,C,80066.000_KCTMultispeciality_D&TandPCU.jpg
KCT MultiSpecialty Hospital,170050.2361,D&T,Surgery,11108,197,Operating Room Support,1173,C,80066.000_KCTMultispeciality_D&TandPCU.jpg
KCT MultiSpecialty Hospital,170050.2361,D&T,Surgery,11108,197,Administrative Offices,226,C,80066.000_KCTMultispeciality_D&TandPCU.jpg
KCT MultiSpecialty Hospital,170050.2361,D&T,Surgery,11108,197,Staff Support,2185,C,80066.000_KCTMultispeciality_D&TandPCU.jpg
KCT MultiSpecialty Hospital,170050.2361,D&T,Endoscopy,2540,197,Entry/ waiting,409,C,80066.000_KCTMultispeciality_D&TandPCU.jpg
KCT MultiSpecialty Hospital,170050.2361,D&T,Endoscopy,2540,197,Minor procedure/ endoscopy suite,1604,C,80066.000_KCTMultispeciality_D&TandPCU.jpg
KCT MultiSpecialty Hospital,170050.2361,D&T,Endoscopy,2540,197,Administrative/ Staff support,527,C,80066.000_KCTMultispeciality_D&TandPCU.jpg
KCT MultiSpecialty Hospital,170050.2361,D&T,Emergency Department,2914,197,Walk in/ waiting,417,C,80066.000_KCTMultispeciality_D&TandPCU.jpg
KCT MultiSpecialty Hospital,170050.2361,D&T,Emergency Department,2914,197,Reception/ Registration,452,C,80066.000_KCTMultispeciality_D&TandPCU.jpg
KCT MultiSpecialty Hospital,170050.2361,D&T,Emergency Department,2914,197,Ambulance entry/ EMS,269,C,80066.000_KCTMultispeciality_D&TandPCU.jpg
KCT MultiSpecialty Hospital,170050.2361,D&T,Emergency Department,2914,197,Emergent/ Urgent,1012,C,80066.000_KCTMultispeciality_D&TandPCU.jpg
KCT MultiSpecialty Hospital,170050.2361,D&T,Emergency Department,2914,197,Clinical support,764,C,80066.000_KCTMultispeciality_D&TandPCU.jpg
KCT MultiSpecialty Hospital,170050.2361,D&T,Emergency Department,2914,197,Administrative/ staff support,0,C,80066.000_KCTMultispeciality_D&TandPCU.jpg
KCT MultiSpecialty Hospital,170050.2361,D&T,Labs,2852,197,Labs,1173,C,80066.000_KCTMultispeciality_D&TandPCU.jpg
KCT MultiSpecialty Hospital,170050.2361,D&T,Labs,2852,197,Support Area,721,C,80066.000_KCTMultispeciality_D&TandPCU.jpg
KCT MultiSpecialty Hospital,170050.2361,D&T,Labs,2852,197,Administrative Offices,786,C,80066.000_KCTMultispeciality_D&TandPCU.jpg
KCT MultiSpecialty Hospital,170050.2361,D&T,Labs,2852,197,Staff Support,172,C,80066.000_KCTMultispeciality_D&TandPCU.jpg
KCT MultiSpecialty Hospital,170050.2361,D&T,Dialysis,1247,197,Entry/ waiting,160,C,80066.000_KCTMultispeciality_D&TandPCU.jpg
KCT MultiSpecialty Hospital,170050.2361,D&T,Dialysis,1398,197,Dialysis area,947,C,80066.000_KCTMultispeciality_D&TandPCU.jpg
